message_id,sender_id,recipient_id,message_body,sent_at
m001-4f3a-434d-bdff-001122334401,1e60e02a-1a3e-4cbd-96f0-2349c4f0a001,2b01f1bc-a6a9-4659-b7b3-1123b3e7a002,Hi I have a question about the property.,2025-06-25T12:30:00
m002-5b4b-545e-ce00-112233445502,3c2be5ad-9d29-4a4c-9322-40139f3a3c03,5e48e5c4-822b-4891-b382-1239b9a7b005,Can I check in early?,2025-06-26T14:00:00
m003-6c5c-656f-df11-223344556603,6f59f6d5-933c-59a2-c493-4567e8e8e006,7a60a7e6-a44d-6ab3-d5a4-5678f9f9f007,Is Wi-Fi available?,2025-06-27T09:45:00
m004-7d6d-7670-e022-334455667704,8b71b8f7-b55e-7bc4-e6b5-678901010008,4d3f1b3c-71c6-44cd-ae2c-2345c4f0d004,How far is it from the city?,2025-06-27T11:00:00
m005-8e7e-8781-f133-445566778805,0d93d0h9-d77a-9de6-08d7-890123232010,2b01f1bc-a6a9-4659-b7b3-1123b3e7a002,Thanks for confirming!,2025-06-28T08:20:00
m006-9f8f-9892-0244-556677889906,2b01f1bc-a6a9-4659-b7b3-1123b3e7a002,1e60e02a-1a3e-4cbd-96f0-2349c4f0a001,You're welcome!,2025-06-28T09:00:00
m007-a090-09a3-1355-667788990017,4d3f1b3c-71c6-44cd-ae2c-2345c4f0d004,6f59f6d5-933c-59a2-c493-4567e8e8e006,Yes early check-in is possible.,2025-06-28T10:00:00
m008-b1a1-1ab4-2466-778899001128,7a60a7e6-a44d-6ab3-d5a4-5678f9f9f007,3c2be5ad-9d29-4a4c-9322-40139f3a3c03,Property address updated.,2025-06-28T11:15:00
m009-c2b2-2bc5-3577-889900112239,9c82c9g8-c66f-8cd5-f7c6-789012121009,0d93d0h9-d77a-9de6-08d7-890123232010,See you soon!,2025-06-28T12:30:00
m010-d3c3-3cd6-4688-990011223340,5e48e5c4-822b-4891-b382-1239b9a7b005,8b71b8f7-b55e-7bc4-e6b5-678901010008,Do let me know if you have questions.,2025-06-28T13:45:00
